,Symbol,CIK
1103,CID,
1104,CIDM,1173204
1105,CIE,1471261
1106,CIEN,936395
1107,CIF,833021
1108,CIG,
1109,CIGI,791115
1110,CII,1278895
1111,CIK,1166297
1112,CIL,1421525
1113,CIM,1409493
1114,CINF,20286
1115,CINR,
1116,CIO,1593222
1117,CIR,1091883
1118,CIT,1171825
1119,CIVB,
1120,CIVBP,
1121,CIVI,1608638
1122,CIX,1049606
1123,CIZ,
1124,CIZN,1075706
1125,CJJD,1413263
1126,CKH,859598
1127,CKX,352955
1128,CL,21665
1129,CLA,1406982
1130,CLAC,1512499
1131,CLACU,
1132,CLACW,
1133,CLB,1383567
1134,CLBH,1127160
1135,CLBS,
1136,CLC,20740
1137,CLCD,
1138,CLCT,1089143
1139,CLD,1441849
1140,CLDC,
1141,CLDCW,
1142,CLDT,1476045
1143,CLDX,
1144,CLF,764065
1145,CLFD,796505
1146,CLGX,36047
1147,CLH,822818
1148,CLI,924901
1149,CLIR,1434524
1150,CLLS,
1151,CLM,814083
1152,CLMS,1299033
1153,CLMT,1340122
1154,CLNE,1368265
1155,CLNT,
1156,CLNY,1467076
1157,CLR,732834
1158,CLRB,
1159,CLRBW,
1160,CLRBZ,
1161,CLRO,840715
1162,CLS,
1163,CLSD,
1164,CLSN,749647
1165,CLUB,1281774
1166,CLVS,1466301
1167,CLW,1441236
1168,CLWT,
1169,CLX,21076
1170,CM,
1171,CMA,28412
1172,CMC,22444
1173,CMCM,1597835
1174,CMCO,1005229
1175,CMCSA,1166691
1176,CMCT,
1177,CMD,812121
1178,CME,1156375
1179,CMFN,
1180,CMG,1058090
1181,CMI,26172
1182,CMLS,1058623
1183,CMO,766701
1184,CMP,1227654
1185,CMPR,
1186,CMRE,1503584
1187,CMRX,1117480
1188,CMS,811156
1189,CMT,1026655
1190,CMTL,23197
1191,CMU,809844
1192,CNA,1468944
1193,CNAT,1383701
1194,CNBKA,812348
1195,CNC,1071739
1196,CNCE,1367920
1197,CNCO,
1198,CNCR,
1199,CNET,1376321
1200,CNFR,1502292
1201,CNHI,1567094
1202,CNI,
1203,CNIT,1552670
1204,CNK,1385280
1205,CNMD,816956
1206,CNNX,1610418
1207,CNO,1224608
1208,CNOB,1462694
1209,CNP,1130310
1210,CNQ,
1211,CNS,1284812
1212,CNSL,1304421
1213,CNTF,1316317
1214,CNTY,911147
1215,CNV,1032997
1216,CNX,1070412
1217,CNXC,1637558
1218,CNXN,
1219,CNXR,1211759
1220,CO,907072
1221,COBZ,1028734
1222,CODI,1345126
1223,COE,1316710
1224,COF,927628
1225,COG,858470
1226,COGT,1289434
1227,COH,1116132
1228,COHR,21510
1229,COHU,21535
1230,COKE,317540
1231,COL,1137411
1232,COLB,887343
1233,COLL,21759
1234,COLM,1050797
1235,COMM,1517228
1236,COMT,
1237,CONE,1553023
1238,CONG,
1239,CONN,1223389
1240,COO,711404
1241,COOL,1076682
1242,COP,1163165
1243,COR,1490892
1244,CORE,1318084
1245,CORI,1594337
1246,CORR,1347652
1247,CORT,1088856
1248,COST,909832
1249,COT,884713
1250,COTV,
1251,COTY,1024305
1252,COUP,1115128
1253,COVS,1563699
1254,COWN,1466538
1255,COWNL,
1256,COYN,1383154
1257,COYNW,
1258,CP,16875
1259,CPA,
1260,CPAA,
1261,CPAAU,
1262,CPAAW,
1263,CPAC,
1264,CPAH,
1265,CPB,16732
1266,CPE,928022
1267,CPF,701347
1268,CPG,911215
1269,CPHC,
1270,CPHI,
1271,CPIX,1087294
1272,CPK,19745
1273,CPL,
1274,CPLA,1104349
1275,CPLP,1392326
1276,CPN,916457
1277,CPPL,1420783
1278,CPRT,900075
1279,CPRX,1369568
1280,CPS,1320461
1281,CPSH,814676
1282,CPSI,1169445
1283,CPSS,889609
1284,CPST,1009759
1285,CPT,906345
1286,CPTA,1571329
1287,CQH,1582966
1288,CQP,1383650
1289,CR,25445
1290,CRAI,1053706
1291,CRAY,949158
1292,CRBP,
1293,CRC,884130
1294,CRCM,1412270
1295,CRDS,1093207
1296,CRDT,
1297,CREE,895419
1298,CREG,721693
1299,CRESY,
1300,CRF,33934
1301,CRH,924174
1302,CRHM,
1303,CRI,1060822
1304,CRIS,1108205
1305,CRK,23194
1306,CRL,1100682
1307,CRM,1108524
1308,CRMD,1410098
1309,CRME,1036141
1310,CRMT,799850
1311,CRNT,1119769
1312,CROX,1334036
1313,CRR,1009672
1314,CRS,17843
1315,CRSP,
1316,CRT,881787
1317,CRTN,
1318,CRTO,811640
1319,CRUS,772406
1320,CRVL,874866
1321,CRVP,
1322,CRVS,1626971
1323,CRWS,25895
1324,CRY,784199
1325,CRZO,1040593
1326,CS,1159510
1327,CSA,1332896
1328,CSAL,
1329,CSB,
1330,CSBK,1240581
1331,CSBR,771856
1332,CSC,23082
1333,CSCO,858877
1334,CSF,
1335,CSFL,1102266
1336,CSGP,1057352
1337,CSGS,1005757
1338,CSI,
1339,CSII,1222929
1340,CSIQ,
1341,CSL,790051
1342,CSLT,1433714
