,Symbol,Name,Sector,industry,Exchange,CIK
135,AIRM,Air Methods Corporation,Transportation,Transportation Services,NASDAQ,816159
136,AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ,353184
137,AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,NYSE,109563
138,AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,NYSE,922864
139,AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,NYSE,1267238
140,AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,NYSE,354190
141,AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,NYSE,1614806
142,AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,NASDAQ,1086222
143,AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1301501
144,AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1517022
145,AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ,1321834
146,AKP,Alliance California Municipal Income Fund Inc,,,NYSE,1162028
147,AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE,899629
148,AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,NYSE,918160
149,AL,Air Lease Corporation,Technology,Diversified Commercial Services,NYSE,1487712
150,ALB,Albemarle Corporation,Basic Industries,Major Chemicals,NYSE,915913
151,ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ,3545
152,ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1423824
153,ALDW,"Alon USA Partners, LP",Energy,Integrated oil Companies,NYSE,1556766
154,ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1341235
155,ALE,"Allete, Inc.",Public Utilities,Power Generation,NYSE,66756
156,ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate,NYSE,1545654
157,ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,NYSE,897077
158,ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,NASDAQ,1097149
159,ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,NASDAQ,1362468
160,ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1267602
161,ALJ,"Alon USA Energy, Inc.",Energy,Integrated oil Companies,NYSE,1325955
162,ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,NYSE,766421
163,ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,NASDAQ,1520262
